N,Iteration,Factor,IR
10,0,MKT_RF,-0.00029543773953499104
10,0,SMB,0.17128473425031787
10,0,HML,0.005304592614313292
10,0,WML,0.7666829431930411
10,1,MKT_RF,0.09507201561986732
10,1,SMB,-0.26393943481336973
10,1,HML,0.5431294759266961
10,1,WML,0.5218242605236684
10,2,MKT_RF,1.0703910258574643
10,2,SMB,-0.1408095694254458
10,2,HML,-0.15799903279403316
10,2,WML,-0.5121454464333985
10,3,MKT_RF,0.45258002310421985
10,3,SMB,-0.17888908601733208
10,3,HML,0.14866521144204628
10,3,WML,0.3413571875969824
10,4,MKT_RF,0.4959726524675755
10,4,SMB,0.08714712036226115
10,4,HML,0.35595517240819974
10,4,WML,-0.042283769756404285
10,5,MKT_RF,0.4442228746702518
10,5,SMB,0.3535790121675013
10,5,HML,-0.022042243542485716
10,5,WML,-0.07720478377120862
10,6,MKT_RF,0.311942025789917
10,6,SMB,-0.49969740958264675
10,6,HML,0.33057747969659806
10,6,WML,1.005462737155599
10,7,MKT_RF,0.22563036914551274
10,7,SMB,-0.17804654373836476
10,7,HML,0.1323338188054152
10,7,WML,0.2564181410148411
10,8,MKT_RF,0.3868232723544014
10,8,SMB,-0.0022161329232095245
10,8,HML,0.4481590413333882
10,8,WML,0.2735523555752188
10,9,MKT_RF,0.19141418877925193
10,9,SMB,-0.3164202556397539
10,9,HML,0.3005123992275245
10,9,WML,0.9629133812654981
10,10,MKT_RF,0.3678248334960998
10,10,SMB,-0.37289608709168665
10,10,HML,0.41760529222867765
10,10,WML,0.46658051131507405
10,11,MKT_RF,0.4156594043870705
10,11,SMB,-0.31548626268616686
10,11,HML,0.28240232090240475
10,11,WML,0.4738246014789631
10,12,MKT_RF,0.334604192795554
10,12,SMB,-0.05321082438368933
10,12,HML,0.4515576545108799
10,12,WML,-0.01294480483600028
10,13,MKT_RF,0.4379805147185164
10,13,SMB,-0.5939342716752188
10,13,HML,0.3173883273130263
10,13,WML,0.20913393326440693
10,14,MKT_RF,0.701189460008303
10,14,SMB,-0.4844423621896331
10,14,HML,0.11739305476259763
10,14,WML,-0.02503512344390789
10,15,MKT_RF,0.5383654111902335
10,15,SMB,-0.1316102781478294
10,15,HML,0.3541859487276645
10,15,WML,0.0056909712615576015
10,16,MKT_RF,-0.09710447877856046
10,16,SMB,0.16484069252702352
10,16,HML,0.20249716653329117
10,16,WML,0.8034877741279943
10,17,MKT_RF,0.6353253947426679
10,17,SMB,-0.16564366473231654
10,17,HML,-0.020547590158258938
10,17,WML,-0.059351969190922456
10,18,MKT_RF,-0.11463400220609202
10,18,SMB,-0.15662941848423814
10,18,HML,0.4856072062333258
10,18,WML,1.1661604372954872
10,19,MKT_RF,0.2166168463907785
10,19,SMB,0.07984549244370662
10,19,HML,0.4064387815606866
10,19,WML,0.39758323753249825
10,20,MKT_RF,0.4778426174854124
10,20,SMB,-0.19544615775987195
10,20,HML,0.2571904144323413
10,20,WML,0.17259199909656278
10,21,MKT_RF,0.4866821280972833
10,21,SMB,-0.34608769124563277
10,21,HML,0.5038797280294796
10,21,WML,0.1824792831388008
10,22,MKT_RF,0.3346235584587551
10,22,SMB,-0.07152402804777751
10,22,HML,0.22839530420338125
10,22,WML,0.47559947114246304
10,23,MKT_RF,0.015753647062510506
10,23,SMB,0.10974097821592955
10,23,HML,0.16965356749897723
10,23,WML,0.5208452528033982
10,24,MKT_RF,0.535622802818428
10,24,SMB,-0.27234459302312947
10,24,HML,0.11649345716294475
10,24,WML,0.15941163130170763
10,25,MKT_RF,0.28247105655469995
10,25,SMB,-0.33203814147359584
10,25,HML,0.715379135770528
10,25,WML,0.1437290250616036
10,26,MKT_RF,0.09217387612580291
10,26,SMB,0.07289326645458394
10,26,HML,-0.0006413398812510658
10,26,WML,0.7076537842072829
10,27,MKT_RF,0.23578088440437336
10,27,SMB,-0.18648678382404518
10,27,HML,0.049625301819626697
10,27,WML,0.3667625158053158
10,28,MKT_RF,0.16790059941359486
10,28,SMB,-0.010055684547280945
10,28,HML,0.16859124894725444
10,28,WML,0.33414991245967335
10,29,MKT_RF,0.058804144351488945
10,29,SMB,0.28099201679339514
10,29,HML,0.11490177986218064
10,29,WML,0.6725411302232529
10,30,MKT_RF,0.4164472555035132
10,30,SMB,0.10022712189325242
10,30,HML,0.008482139498338046
10,30,WML,0.28929237104007316
10,31,MKT_RF,0.5049207106683398
10,31,SMB,0.33651784692302095
10,31,HML,0.25636881934155614
10,31,WML,-0.10176300673681675
10,32,MKT_RF,0.7324279957164196
10,32,SMB,-0.39154940135602545
10,32,HML,0.27569844635884067
10,32,WML,-0.15184960526731903
10,33,MKT_RF,0.4646755831149142
10,33,SMB,0.18473493447611872
10,33,HML,0.12749639107399624
10,33,WML,0.2826641851429598
10,34,MKT_RF,0.5332770684898422
10,34,SMB,-0.03414482838751607
10,34,HML,0.46871360080244895
10,34,WML,0.14228003828868482
10,35,MKT_RF,0.3390392785143181
10,35,SMB,0.2383107575216867
10,35,HML,0.3220001707377332
10,35,WML,0.4596242799132707
10,36,MKT_RF,0.6592283858251771
10,36,SMB,-0.034895932356740086
10,36,HML,0.313422898214121
10,36,WML,-0.4027206985469052
10,37,MKT_RF,0.6745024053645461
10,37,SMB,-0.19964681744995177
10,37,HML,0.09347919938645695
10,37,WML,-0.04589878522859815
10,38,MKT_RF,0.5150492236437143
10,38,SMB,-0.2883719938627076
10,38,HML,0.4572515888770921
10,38,WML,0.09859787409032486
10,39,MKT_RF,0.21194527082066897
10,39,SMB,-0.10955515752392529
10,39,HML,0.2620492716985474
10,39,WML,0.4866483868902627
