date,STK01,STK02,STK03,STK04,STK05,STK06,STK07,STK08,STK09,STK10,STK11,STK12,STK13,STK14,STK15,STK16,STK17,STK18,STK19,STK20,STK21,STK22,STK23,STK24,STK25,STK26,STK27,STK28,STK29,STK30,STK31,STK32,STK33,STK34,STK35,STK36,STK37,STK38,STK39,STK40,STK41,STK42,STK43,STK44,STK45,STK46,STK47,STK48,STK49,STK50
2014-01-31,101368149.66209394,118498472.48324938,106807347.6715783,134824685.03471598,85686249.68758291,75730205.13326001,139430322.19927582,202232810.1615016,108971144.3567342,102260446.1949818,236782478.42771217,141229868.40992647,135785086.07896456,106368344.14036606,82883813.84673573,87380473.94095196,92734669.05685137,67725157.79454878,99256904.50695083,109445763.846425,86982689.72799376,108258693.46838191,89600992.44637597,103869644.9204423,82121268.316067,5449021572.804571,5584376207.831888,4888308691.756841,4303576374.5800085,4246642198.8492417,3305002375.8480206,2833777860.2700276,7379616102.410312,3402542833.9980373,7956960628.729942,3821723976.5069385,6425440087.656773,7461431272.411597,4372653188.455543,5089429050.507966,5368035507.673278,5088108937.369141,4002414368.1075377,3100079620.930483,5345252559.873839,5566088112.214749,4188452569.187077,7237560931.057496,4178466622.6208696,6535982829.804066
2014-02-28,94021845.9782901,119915615.53905801,92677947.9441215,132013081.29907115,75490560.34929712,71030641.92021239,127560244.58535054,195432919.6301742,107660185.08850163,101822967.94079374,217612705.8994112,134830490.26897615,121341453.18048179,99801816.22922193,77607564.74268289,76509470.7112297,88116607.03473246,67140880.49423994,92998665.67208166,104555204.54586667,79159968.50067721,106279450.292493,86324077.14862272,99379212.12213296,73485438.94606806,5471840420.61985,5538737138.291358,4978851401.87152,4144925235.0924397,3782584464.359875,3332145375.8307014,2499396869.272131,7050695030.531937,3187171306.082029,7255887820.463739,3829352109.6410728,5686467059.035521,7610211825.592406,3990386366.2140365,4999415853.777954,5028866393.890803,4846564274.42655,3771239460.1578765,3056291834.743199,4915216820.269327,5240315946.913784,3956743574.308871,6510195402.286691,3739492262.2306194,6003392418.516268
2014-03-31,87523938.94431967,123581113.17231594,90601766.44902387,140059653.15109524,73017489.41084959,72160975.91667894,127175261.92049238,186790229.26528797,107929888.72895584,97384024.76285714,215098565.31138712,132808304.73741157,121726080.61672916,101016098.82315984,76933277.42290944,78066350.74286614,87833172.22494066,69003487.38089296,92958234.43628226,105823150.55109936,82463757.19448814,102182740.14981358,88071146.85314406,96252671.62785672,66964207.549373575,5435919715.267796,5470222179.479116,5144145897.513813,4389159619.447033,3642515053.8123307,3210041572.129954,2334080294.8092113,6762621647.011718,2973680908.5462384,7382622361.267759,3937799437.1604495,5921630040.666212,7307705110.277718,3705675519.501859,4714325316.797355,4943328706.466867,4976691486.244478,3801306733.8308387,3034372965.6329575,4703333088.357796,5398543609.451521,3777572857.580472,6354688349.047204,3611804008.00673,6285203296.034454
2014-04-30,100495014.0961285,133371655.7958499,97726602.59379315,143319180.62135953,82102140.27441074,79137288.97012821,139558776.11286905,209965213.54396364,117465587.87012143,105893341.49217868,230275784.02446434,149957289.48639035,135571064.06119335,107596365.95173569,87826549.31295028,88965891.78807192,93569929.669507,72282823.21130164,103263993.49816859,113421869.09559074,84337924.81471726,111810460.56685358,98505931.30108263,100889031.85909091,72623865.20171008,5663671217.95523,6260095973.970957,5576430801.326964,4932796783.513309,3893013483.3676515,3518431053.7273893,2746891007.1716003,7597779093.456006,3152388764.815436,8402617627.314738,4275419684.4263554,6373004221.663443,8015221515.31697,4018968221.1859794,5477230653.307694,5553884007.4515,5465198300.332509,4028445175.138082,3347042669.7069154,5500566302.534292,5891964815.039542,3920919803.9741254,7056385585.865673,4234987765.521318,6948409403.355101
2014-05-30,110883145.38068603,137593639.93656474,104673525.65051061,152890113.42177904,87289877.19087562,87615172.51886965,154327526.06177822,215907771.03005075,124271561.04861833,112483688.89049342,245596365.2592181,155215327.01956657,147642010.69231218,116948308.03515288,98347828.82871658,90084603.94630753,96267823.89759904,72814597.70603645,105446372.71721616,112699649.95039657,91434759.60225183,121951406.59827805,100710603.8561292,112296448.0008364,77225141.38439867,5748370538.728513,6445247414.372112,5827297528.333184,4927923368.134976,4139308033.941495,3767131850.7677417,2772692053.026289,8072680685.139188,3471652816.9880004,8820054608.935856,4383265228.400755,6709519268.216378,8397885068.48497,4296185724.507664,5746840570.590376,6028280388.063128,6027613492.180519,4213122226.8667564,3550788877.54009,5872886292.248423,6133584489.499906,4321429136.202759,8184014739.6502075,4444805482.895458,7214749433.338092
2014-06-30,114564677.75543174,140753307.7007918,113597096.97019863,151779048.92870635,91877609.03745851,93220376.12795341,160500488.93283868,228468777.03197935,146098745.90254036,114384465.01800178,254590562.9286244,163099512.88924533,153718427.90713915,121631809.15858999,103830812.1801119,86873328.17782,103863703.88662978,72031528.13936712,107488046.92994694,112113305.85694377,95445052.09906939,125778167.51032786,105745096.90769306,106943315.47350411,84670743.79821433,5828764258.198319,6869366974.136401,6058636933.141646,5138050096.675377,4123475570.9260626,3880065540.517395,2940961133.480349,8114973360.338339,3395171425.430889,9261083786.123823,4425754198.796822,7004325465.100375,8584987918.81385,4775215757.869516,5661907207.366117,6426078043.583773,6050666092.874168,4244003096.48305,3660421209.3036017,5882754627.8181715,6143718171.913053,4251376450.680726,8195609654.157411,4696279204.1652565,7372621668.548862
2014-07-31,119473635.9259248,139450040.43831074,115979282.39540383,144800839.5557393,89688289.74149504,96791359.9882932,166619083.70546654,229546014.95313242,153703354.2094563,117938365.07428095,270848587.7658355,173283739.1740832,164229654.12012577,133902351.29341882,103796035.6282726,85759196.0650266,111960282.96941648,75837605.52575542,103529305.38958934,115997164.3964241,104820315.08208023,128681564.9333474,101036935.60041143,103341383.45863968,78300743.86379634,5373758990.194817,6662403327.202271,5617655929.655968,4975609720.951962,4036830139.586476,3899634337.376077,2762129966.142524,7993980119.713028,3415909478.8048472,9012137300.201555,4498064264.93068,6711636098.084409,8360710082.01156,4541245343.636099,5658824863.408441,5837695029.370385,5858642653.884506,4154399843.496509,3323577610.8134866,5585920903.886642,6014111822.8980055,4019615005.2841268,7797461409.391546,4387480524.307287,7238119699.8334465
2014-08-29,124205653.16108781,132386607.79613732,119472244.91646929,143899527.55358362,91499193.3685438,86889281.30907871,170977864.4562643,223732599.9035666,153767201.30346972,120947524.30974402,276305015.1192597,179038563.98534018,163085940.65119863,133468004.33017644,101200828.69906765,89108748.1196439,113373839.32531896,76353438.49023387,105734722.62034087,114553705.97142904,109346511.79901437,124077940.13641809,101004707.42294924,102349148.04356569,79610077.23998111,5958651190.969625,7020017552.930243,5489828169.5456,5250216117.655677,3863180144.00145,3947452298.408255,2953401241.3782506,8309119517.85206,3626341796.528741,9445970563.48765,4462547904.05294,7175768900.8686075,8324007158.091817,4741476318.636537,5793824147.858444,6042005824.217272,6041007650.713845,4658611833.210553,3312285016.106485,5580329724.245465,6143952867.558858,4205335376.4114165,8157895467.689774,4628762139.942629,7041126972.428176
2014-09-30,115524037.70183374,127277777.77991116,98977804.93251394,140295027.63651767,88234298.1620045,76631840.16049406,159543766.68126264,191983433.03664157,142352937.44843987,108563760.84092471,259853948.59344786,175204314.22291365,163542580.85236883,128293049.27877173,95903992.47583565,77896513.36021599,104613552.7689718,72755311.15512638,91157449.43217021,102989433.16534522,97921770.58389452,119531069.89899078,94208195.04447149,95662210.73903379,76486421.52706355,5961812018.660134,6572461754.678021,5447610303.662145,4984777467.981276,3656033562.279979,4115334784.2553806,2931039210.375366,7642258058.573835,3231285813.7549205,9300084273.35093,4293054635.502099,6757757928.219811,7639100439.203269,4256788161.5920334,5824609935.782478,5760381683.902842,6104642446.126889,4586788862.431782,2987724181.4479475,5227236987.177087,5840790769.809602,4000970559.3953066,8135488801.494349,4587618398.502328,6922495471.1694565
2014-10-31,109554956.03363669,113081955.84560128,95080687.86982343,129745935.08226587,84377175.09658004,75193160.0461817,154758861.176112,171450480.7080877,145902380.82190776,93405186.02369164,256631925.06257126,161881943.04260245,171646370.47272068,119884227.93867223,97517780.95526905,75549049.22459549,104706576.337402,70081222.92523023,92567182.66820385,102528070.62260666,95094632.66168861,111884757.02043639,96017554.0099385,87824391.40498973,73767895.84761459,5585240202.029793,6476293777.859904,5274077656.765442,5029432925.164236,3394450873.089314,4195938273.248856,2850879423.940446,7515463199.14657,3182449649.6245337,9812842132.563072,4303134230.406063,6505101210.883764,7097610004.020443,4085286997.075779,5625731506.877508,5708250155.649868,6020913661.264249,4525409096.036248,2934330734.2698116,4917283144.397123,5868659340.039008,4053799979.4602647,7534549558.5488405,4507422128.494013,6567069096.038838
